userID,movieID,rating
747,1193,5
747,661,3
747,2804,5
747,919,4
747,2791,4
747,2797,4
747,720,3
747,1270,5
747,1097,4
747,588,4
747,260,4
4439,1357,5
4439,2268,5
4439,3578,5
4439,1544,4
4439,2278,3
4439,589,4
4439,3654,3
4439,480,5
4439,1193,5
4439,1196,5
4439,593,5
4439,2571,4
4439,2396,4
4439,235,3
4439,21,1
4439,1090,2
4439,349,4
4439,1784,5
4439,2943,4
4439,1244,3
5974,3534,3
5974,2997,3
5974,260,5
5974,480,4
5974,733,5
5974,1196,4
5974,593,3
5974,3552,5
5974,1270,3
4572,260,5
4572,480,4
4572,1196,2
4572,1097,4
4572,3702,4
4572,2366,4
2795,2268,2
2795,3578,2
2795,3793,2
2795,2058,1
2795,2997,5
2795,47,3
2795,1617,3
2795,6,2
2795,733,1
2795,2282,3
2795,593,4
2795,2571,5
2795,1127,1
2795,1279,1
2795,1923,3
2795,3386,2
2795,2013,3
2795,908,4
2795,1449,4
2795,919,4
2795,1594,1
2795,2683,3
2795,2759,3
2795,353,2
698,2406,5
698,3578,4
698,588,4
698,597,5
698,2506,3
698,3534,4
698,1947,5
698,2396,4
698,1380,5
5286,3578,3
5286,3793,3
5286,589,5
5286,6,4
5286,733,5
5286,1196,5
5286,2571,5
5286,1270,4
5286,480,4
5286,349,5
1862,2268,3
1862,1393,5
1862,2278,3
1862,589,5
1862,733,3
1862,2571,5
1862,1916,5
1862,3386,3
1862,1357,4
1862,3252,3
1862,908,5
1862,111,5
1862,480,5
1862,2396,5
1862,349,4
1862,2329,5
1762,2268,4
1762,1393,3
1762,3793,4
1762,720,4
1762,47,5
1762,1617,4
1762,2278,4
1762,3510,3
1762,593,5
1762,2571,5
1762,597,3
1762,1777,4
1762,1923,5
1762,1784,3
1762,3253,4
1762,480,4
1762,349,4
3073,2622,5
3073,648,4
3073,2628,3
3073,3358,5
3073,3359,3
3073,1682,5
3073,1756,4
3073,1320,3
3073,2124,3
3073,2125,5
3073,1250,3
3073,2054,4
3073,1252,3
3073,1253,5
3073,720,5
3073,3868,3
3073,1254,3
3073,3869,3
3073,1256,3
3073,3500,5
3073,1257,5
3073,3501,5
3073,1259,3
3073,653,4
3073,1831,5
3073,3363,5
3073,586,3
3073,587,5
3073,3438,3
3073,588,4
3073,3439,2
3073,589,4
3073,1690,4
3073,3296,4
3073,223,2
3073,150,5
3073,2496,4
3073,1,5
3073,2497,4
3073,2,5
3073,2498,4
3073,153,3
3073,7,4
3073,2133,4
3073,2135,4
3073,3948,4
3073,2136,4
3073,2137,4
3073,1196,5
3073,2571,5
3073,597,4
3073,2072,4
3073,1270,4
3073,1923,5
3073,3386,4
3073,1784,5
3073,2080,4
3073,1357,5
3073,2087,5
3073,2804,5
3073,3039,4
3073,2091,3
3073,2096,5
3073,1294,4
3073,1947,5
3073,260,5
3073,919,5
3073,1380,5
3073,3702,3
3073,351,4
3073,2407,5
3073,1032,4
3073,1544,4
3073,1617,3
3073,953,5
3073,2863,4
3073,2791,4
3073,1127,4
3073,1129,4
3073,2797,5
3073,2431,5
3073,2005,4
3073,969,3
3073,2948,4
3073,539,5
3073,2378,3
3073,2011,4
3073,3252,3
3073,480,4
3073,3264,3
3073,2396,5
3073,2105,5
3073,1234,4
3073,1097,5
2083,1753,4
2083,1682,1
2083,216,4
2083,2997,4
2083,1259,3
2083,1188,4
2083,2706,2
2083,586,1
2083,587,3
2083,2639,2
2083,2136,1
2083,1265,3
2083,2710,3
2083,663,4
2083,590,3
2083,1197,5
2083,2712,1
2083,1198,4
2083,593,5
2083,1916,4
2083,597,3
2083,3448,4
2083,231,3
2083,1777,4
2083,2076,4
2083,1278,3
2083,1923,5
2083,2580,5
2083,1784,5
2083,318,5
2083,246,4
2083,249,3
2083,1358,5
2083,1288,4
2083,2804,5
2083,3608,4
2083,2806,1
2083,3396,1
2083,3101,1
2083,2598,1
2083,2302,4
2083,3105,5
2083,3107,3
2083,2306,1
2083,764,5
2083,2746,4
2083,333,4
2083,1441,3
2083,2174,4
2083,3552,1
2083,778,4
2083,2683,4
2083,342,3
2083,1887,2
2083,345,4
2083,2329,5
2083,2907,2
2083,47,3
2083,2282,4
2083,2791,4
2083,2431,2
2083,480,4
2083,2539,4
2083,2396,2
2083,1244,4
1431,1193,4
1431,593,5
1431,2804,5
1431,919,5
1431,111,5
4105,589,5
4105,1196,5
4105,593,5
4105,2571,5
4105,260,5
4105,919,4
4105,21,3
4105,349,3
4105,3494,2
4105,1393,3
4105,2414,2
4105,1544,4
4105,1127,4
4105,1129,3
4105,60,2
4105,2005,2
4105,480,4
4105,2105,3
4105,1097,5
2730,2997,5
2730,3578,4
2730,2396,4
3264,2058,3
3264,2997,2
3264,2706,4
3264,587,3
3264,2567,4
3264,2496,3
3264,6,4
3264,1193,4
3264,733,3
3264,3510,5
3264,1196,4
3264,593,4
3264,2571,4
3264,160,2
3264,1777,3
3264,1923,4
3264,3386,2
3264,1784,3
3264,3534,3
3264,3461,4
3264,762,3
3264,260,4
3264,2683,4
3264,788,3
3264,2268,4
3264,3578,5
3264,47,4
3264,1617,3
3264,2278,2
3264,2506,2
3264,539,4
3264,480,4
3264,1805,4
3264,2539,2
3264,2396,4
5920,1911,3
5920,3516,3
5920,2683,4
3820,3863,3
3820,3793,4
3820,720,5
3820,2058,3
3820,589,5
3820,1193,5
3820,3510,4
3820,1196,5
3820,593,5
3820,2571,4
3820,235,5
3820,1270,5
3820,1923,4
3820,260,5
3820,2311,4
3820,3702,3
3820,2407,4
3820,2268,4
3820,3578,5
3820,1617,5
3820,3156,4
3820,2282,4
3820,2287,4
3820,1127,4
3820,1129,4
3820,2011,5
3820,2527,4
3820,2455,4
3820,480,4
3820,2396,4
3820,1594,4
3820,2105,4
3820,707,4
3820,1097,3
4913,3793,5
4913,588,5
4913,589,5
4913,1193,4
4913,1196,5
4913,737,1
4913,1784,4
4913,2080,5
4913,1357,5
4913,2087,4
4913,3461,3
4913,2096,5
4913,260,5
4913,919,5
4913,2253,1
4913,3494,4
4913,353,5
4913,2268,4
4913,1032,4
4913,3578,4
4913,2414,4
4913,47,1
4913,1617,5
4913,1544,3
4913,2278,3
4913,2422,1
4913,2797,4
4913,2005,5
4913,969,5
4913,2948,5
4913,3252,4
4913,2450,1
4913,475,4
4913,86,3
4913,3698,3
4913,485,2
4913,1805,4
4913,2105,4
4913,1234,5
4913,1097,5
3203,3863,4
3203,3793,4
3203,720,5
3203,588,4
3203,589,4
3203,1193,5
3203,733,5
3203,3510,5
3203,2710,3
3203,1196,5
3203,1911,3
3203,593,5
3203,2571,4
3203,1270,5
3203,2080,4
3203,2087,4
3203,3461,4
3203,2096,3
3203,260,3
3203,919,4
3203,3552,3
3203,2683,4
3203,2414,3
3203,47,4
3203,1127,3
3203,2366,4
3203,2948,5
3203,2949,4
3203,1219,5
3203,2527,3
3203,2455,3
3203,111,4
3203,480,4
3203,3264,4
3203,1234,5
3203,1090,3
3203,1097,3
641,3863,3
641,589,4
641,2571,5
641,1923,4
641,3578,5
641,47,5
641,1617,5
810,588,3
486,216,2
486,145,2
486,2997,4
486,587,2
486,589,4
486,733,4
486,1196,4
486,2571,3
486,2072,4
486,1270,4
486,1923,3
486,3039,3
486,908,4
486,919,3
486,3552,3
486,353,1
486,2406,3
486,3578,5
486,2413,3
486,47,4
486,1544,1
486,2791,4
486,2792,3
486,1127,4
486,2797,3
486,2005,4
486,2011,4
486,2450,3
486,3253,4
486,111,4
486,1222,4
486,3698,4
486,480,2
486,485,4
486,2396,2
486,1097,3
3290,1249,5
3290,3793,4
3290,720,4
3290,2997,5
3290,589,4
3290,6,3
3290,3510,4
3290,661,2
3290,1196,5
3290,593,4
3290,2642,1
3290,2571,3
3290,235,3
3290,1784,3
3290,2091,1
3290,908,3
3290,260,5
3290,2311,4
3290,21,4
3290,2253,2
3290,3702,1
3290,788,3
3290,2407,3
3290,2268,3
3290,3578,4
3290,45,4
3290,47,2
3290,1617,2
3290,1544,3
3290,2278,3
3290,1127,5
3290,1129,4
3290,2797,4
3290,60,3
3290,2005,1
3290,2948,4
3290,2011,4
3290,1219,3
3290,3253,2
3290,2527,5
3290,2455,4
3290,111,3
3290,3763,2
3290,1222,5
3290,3698,4
3290,480,5
3290,1805,3
3290,2396,3
3290,2105,2
3290,1234,5
3290,1090,3
3290,1097,4
996,3424,4
996,1193,5
996,593,5
996,597,4
996,1777,4
996,1270,4
996,1784,3
996,3039,4
996,260,5
996,2245,4
996,919,5
996,3552,5
996,2683,4
996,2406,4
996,2407,4
996,372,1
996,953,5
996,2791,4
996,2797,4
996,539,3
996,2396,4
996,1090,4
3515,3793,4
3515,1831,2
3515,2709,5
3515,588,2
3515,1196,5
3515,737,3
3515,2571,3
3515,1270,5
3515,2804,2
3515,260,5
3515,2683,3
3515,2253,4
3515,788,2
3515,3578,4
3515,1544,3
3515,3156,5
3515,1129,4
3515,2011,5
3515,480,4
4695,3422,3
4695,216,2
4695,2706,3
4695,1833,4
4695,587,3
4695,588,3
4695,589,3
4695,1196,2
4695,593,3
4695,597,4
4695,160,3
4695,1777,2
4695,1270,3
4695,1923,3
4695,1784,5
4695,3039,3
4695,762,3
4695,1947,3
4695,260,3
4695,2313,3
4695,2245,3
4695,3552,3
4695,2683,1
4695,2759,2
4695,1380,4
4695,788,1
4695,3130,3
4695,2406,3
4695,2407,3
4695,2268,4
4695,1393,5
4695,2412,2
4695,45,5
4695,1544,3
4695,3156,5
4695,2791,1
4695,2797,3
4695,539,2
4695,2011,4
