userID	age	gender	movieID	name	year	genre1	genre2	genre3	rating
747	1	F	1193	One Flew Over the Cuckoo's Nest 	1975	Drama			5
747	1	F	661	James and the Giant Peach 	1996	Animation	Children's	Musical	3
747	1	F	2804	Christmas Story, A 	1983	Comedy	Drama		5
747	1	F	919	Wizard of Oz, The 	1939	Adventure	Children's	Drama	4
747	1	F	2791	Airplane! 	1980	Comedy			4
747	1	F	2797	Big 	1988	Comedy	Fantasy		4
747	1	F	720	Wallace & Gromit: The Best of Aardman Animation 	1996	Animation			3
747	1	F	1270	Back to the Future 	1985	Comedy	Sci-Fi		5
747	1	F	1097	E.T. the Extra-Terrestrial 	1982	Drama	Fantasy	Sci-Fi	4
747	1	F	588	Aladdin 	1992	Children's	Comedy	Musical	4
747	1	F	260	Star Wars: Episode IV - A New Hope 	1977	Action	Adventure	Sci-Fi	4
4439	56	M	1357	Shine 	1996	Drama	Romance		5
4439	56	M	2268	Few Good Men, A 	1992	Crime	Drama		5
4439	56	M	3578	Gladiator 	2000	Action	Drama		5
4439	56	M	1544	Lost World: Jurassic Park, The 	1997	Action	Adventure	Thriller	4
4439	56	M	2278	Ronin 	1998	Action	Crime	Thriller	3
4439	56	M	589	Terminator 2: Judgment Day 	1991	Action	Sci-Fi	Thriller	4
4439	56	M	3654	Guns of Navarone, The 	1961	Action	Drama	War	3
4439	56	M	480	Jurassic Park 	1993	Action	Adventure	Sci-Fi	5
4439	56	M	1193	One Flew Over the Cuckoo's Nest 	1975	Drama			5
4439	56	M	1196	Star Wars: Episode V - The Empire Strikes Back 	1980	Action	Adventure	Drama	5
4439	56	M	593	Silence of the Lambs, The 	1991	Drama	Thriller		5
4439	56	M	2571	Matrix, The 	1999	Action	Sci-Fi	Thriller	4
4439	56	M	2396	Shakespeare in Love 	1998	Comedy	Romance		4
4439	56	M	235	Ed Wood 	1994	Comedy	Drama		3
4439	56	M	21	Get Shorty 	1995	Action	Comedy	Drama	1
4439	56	M	1090	Platoon 	1986	Drama	War		2
4439	56	M	349	Clear and Present Danger 	1994	Action	Adventure	Thriller	4
4439	56	M	1784	As Good As It Gets 	1997	Comedy	Drama		5
4439	56	M	2943	Indochine 	1992	Drama	Romance		4
4439	56	M	1244	Manhattan 	1979	Comedy	Drama	Romance	3
5974	25	M	3534	28 Days 	2000	Comedy			3
5974	25	M	2997	Being John Malkovich 	1999	Comedy			3
5974	25	M	260	Star Wars: Episode IV - A New Hope 	1977	Action	Adventure	Sci-Fi	5
5974	25	M	480	Jurassic Park 	1993	Action	Adventure	Sci-Fi	4
5974	25	M	733	Rock, The 	1996	Action	Adventure	Thriller	5
5974	25	M	1196	Star Wars: Episode V - The Empire Strikes Back 	1980	Action	Adventure	Drama	4
5974	25	M	593	Silence of the Lambs, The 	1991	Drama	Thriller		3
5974	25	M	3552	Caddyshack 	1980	Comedy			5
5974	25	M	1270	Back to the Future 	1985	Comedy	Sci-Fi		3
4572	45	M	260	Star Wars: Episode IV - A New Hope 	1977	Action	Adventure	Sci-Fi	5
4572	45	M	480	Jurassic Park 	1993	Action	Adventure	Sci-Fi	4
4572	45	M	1196	Star Wars: Episode V - The Empire Strikes Back 	1980	Action	Adventure	Drama	2
4572	45	M	1097	E.T. the Extra-Terrestrial 	1982	Drama	Fantasy	Sci-Fi	4
4572	45	M	3702	Mad Max 	1979	Action	Sci-Fi		4
4572	45	M	2366	King Kong 	1933	Action	Adventure	Horror	4
2795	25	M	2268	Few Good Men, A 	1992	Crime	Drama		2
2795	25	M	3578	Gladiator 	2000	Action	Drama		2
2795	25	M	3793	X-Men 	2000	Action	Sci-Fi		2
2795	25	M	2058	Negotiator, The 	1998	Action	Thriller		1
2795	25	M	2997	Being John Malkovich 	1999	Comedy			5
2795	25	M	47	Seven (Se7en) 	1995	Crime	Thriller		3
2795	25	M	1617	L.A. Confidential 	1997	Crime	Mystery	Thriller	3
2795	25	M	6	Heat 	1995	Action	Crime	Thriller	2
2795	25	M	733	Rock, The 	1996	Action	Adventure	Thriller	1
